listid,listname,pj_alias,status,start_date,end_date,dev_is_available,commit_is_available,is_in_attic,sponsor,intro,istoplv,start_from_scratch,pj_url,pj_github_url
67,Beehive,beehive,1,5/21/2004,7/18/2005,t,t,t,"Incubator
		 
	   ","Extensible Java application framework with an integrated metadata-driven programming model for web services, web applications, and resource access
		 
	   ",,,http://incubator.apache.org/projects/beehive.html,https://github.com/apache/Beehive
68,Bigtop,bigtop,1,6/20/2011,9/19/2012,t,t,f,"Incubator
		 
	   ","Bigtop is a project for the development of packaging and tests of the Hadoop ecosystem.
		 
	   ",,,http://incubator.apache.org/projects/bigtop.html,https://github.com/apache/Bigtop
70,Brooklyn,brooklyn,1,5/1/2014,11/18/2015,t,t,f,"Incubator
		
		(Chip Childers)
		 
	   ","
            Brooklyn is a framework for modelling, monitoring, and managing applications
            through autonomic blueprints.
        
		 
	   ",,,http://incubator.apache.org/projects/brooklyn.html,https://github.com/apache/Brooklyn
71,Buildr,buildr,1,11/1/2007,2/23/2009,t,t,f,"Incubator
		 
	   ","Buildr is a simple and intuitive build system for Java projects written in Ruby.
		 
	   ",,,http://incubator.apache.org/projects/buildr.html,https://github.com/apache/Buildr
72,Calcite,calcite,1,5/19/2014,10/22/2015,t,t,f,"Incubator
		
		(Ashutosh Chauhan)
		 
	   ","Calcite is a highly customizable engine for parsing and planning queries on data in a wide variety of formats. It allows database-like access, and in particular a SQL interface and advanced query optimization, for data not residing in a traditional database. (Renamed from Optiq on 2014-09-30.)
		 
	   ",,,http://incubator.apache.org/projects/calcite.html,https://github.com/apache/Calcite
73,CarbonData,carbondata,1,6/2/2016,4/19/2017,t,t,f,"Incubator
		
		(Jean-Baptiste Onofre)
		 
	   ","Apache CarbonData is a new Apache Hadoop native file format for faster interactive query using advanced columnar storage, index, compression and encoding techniques to improve computing efficiency, in turn it will help speedup queries an order of magnitude faster over PetaBytes of data.
		 
	   ",,,http://incubator.apache.org/projects/carbondata.html,https://github.com/apache/CarbonData
74,Cassandra,cassandra,1,1/1/2009,2/17/2010,t,t,f,"Incubator
		 
	   ","Cassandra
		 
	   ",,,http://incubator.apache.org/projects/cassandra.html,https://github.com/apache/Cassandra
75,Cayenne,cayenne,1,3/9/2006,12/20/2006,t,t,f,"DB
		 
	   ","Robust Persistence
		 
	   ",,,http://incubator.apache.org/projects/cayenne.html,https://github.com/apache/Cayenne
76,Celix,celix,1,11/2/2010,7/16/2014,t,t,f,"Incubator
		 
	   ","Celix is an OSGi like implementation in C with a distinct focus on interoperability between Java and C.
		 
	   ",,,http://incubator.apache.org/projects/celix.html,https://github.com/apache/Celix
77,Chemistry,chemistry,1,4/30/2009,2/16/2010,t,t,f,"Incubator
		 
	   ","Chemistry
		 
	   ",,,http://incubator.apache.org/projects/chemistry.html,https://github.com/apache/Chemistry
