Unnamed: 0,pj_alias,status,pj_github_url,corrected_pj_github_url,pj_github_api_url,correct_url_found,has_hard_fork,total_forks,total_hard_forks
167,netbeans,1,https://github.com/apache/NetBeans,https://github.com/apache/NetBeans,https://api.github.com/repos/apache/NetBeans,TRUE,TRUE,612,19
168,nifi,1,https://github.com/apache/NiFi,https://github.com/apache/NiFi,https://api.github.com/repos/apache/NiFi,TRUE,TRUE,2085,26
169,nutch,1,https://github.com/apache/Nutch,https://github.com/apache/Nutch,https://api.github.com/repos/apache/Nutch,TRUE,TRUE,1153,10
170,streams,1,https://github.com/apache/Streams,https://github.com/apache/Streams,https://api.github.com/repos/apache/Streams,TRUE,TRUE,41,3
171,nuvem,1,https://github.com/apache/Nuvem,https://github.com/apache/Nuvem,https://api.github.com/repos/apache/Nuvem,TRUE,FALSE,4,0
172,ode,1,https://github.com/apache/Ode,https://github.com/apache/Ode,https://api.github.com/repos/apache/Ode,TRUE,TRUE,56,1
173,ofbiz,1,https://github.com/apache/OFBiz,https://github.com/apache/OFBiz,https://api.github.com/repos/apache/OFBiz,TRUE,TRUE,542,2
174,ognl,1,https://github.com/apache/OGNL,https://github.com/apache/commons-ognl,https://api.github.com/repos/apache/commons-ognl,TRUE,TRUE,31,1
175,olingo,1,https://github.com/apache/Olingo,https://github.com/apache/olingo-odata4,https://api.github.com/repos/apache/olingo-odata4,TRUE,TRUE,152,1
176,onami,1,https://github.com/apache/Onami,https://github.com/apache/Onami,https://api.github.com/repos/apache/Onami,TRUE,FALSE,3,0
177,oodt,1,https://github.com/apache/OODT,https://github.com/apache/OODT,https://api.github.com/repos/apache/OODT,TRUE,TRUE,58,2
178,oozie,1,https://github.com/apache/Oozie,https://github.com/apache/Oozie,https://api.github.com/repos/apache/Oozie,TRUE,TRUE,426,6
179,climate,1,https://github.com/apache/climate,https://github.com/apache/climate,https://api.github.com/repos/apache/climate,TRUE,TRUE,108,1
180,openejb,1,https://github.com/apache/OpenEJB,https://github.com/apache/OpenEJB,https://api.github.com/repos/apache/OpenEJB,TRUE,FALSE,25,0
181,openjpa,1,https://github.com/apache/OpenJPA,https://github.com/apache/OpenJPA,https://api.github.com/repos/apache/OpenJPA,TRUE,FALSE,97,0
182,openmeetings,1,https://github.com/apache/Openmeetings,https://github.com/apache/Openmeetings,https://api.github.com/repos/apache/Openmeetings,TRUE,TRUE,233,3
183,opennlp,1,https://github.com/apache/OpenNLP,https://github.com/apache/OpenNLP,https://api.github.com/repos/apache/OpenNLP,TRUE,TRUE,384,3
184,openoffice,1,https://github.com/apache/OpenOffice.org,https://github.com/apache/openoffice,https://api.github.com/repos/apache/openoffice,TRUE,TRUE,238,2
185,openwebbeans,1,https://github.com/apache/OpenWebBeans,https://github.com/apache/OpenWebBeans,https://api.github.com/repos/apache/OpenWebBeans,TRUE,TRUE,44,3
186,openwhisk,1,https://github.com/apache/OpenWhisk,https://github.com/apache/OpenWhisk,https://api.github.com/repos/apache/OpenWhisk,TRUE,TRUE,1034,15
187,parquet,1,https://github.com/apache/Parquet,https://github.com/apache/parquet-mr,https://api.github.com/repos/apache/parquet-mr,TRUE,TRUE,1068,7
